run_name,model,metric,mean,ci_low,ci_high,n_users,n_boot
lightgcn_gowalla_repro,lightgcn,ndcg@10,0.13694,0.13482,0.13893,29858,2000
lightgcn_gowalla_repro,lightgcn,ndcg@20,0.15123,0.14915,0.15321,29858,2000
lightgcn_gowalla_repro,lightgcn,ndcg@50,0.18089,0.17883,0.18297,29858,2000
lightgcn_gowalla_repro,lightgcn,recall@10,0.1254,0.12337,0.12736,29858,2000
lightgcn_gowalla_repro,lightgcn,recall@20,0.17724,0.17483,0.17948,29858,2000
lightgcn_gowalla_repro,lightgcn,recall@50,0.27241,0.26953,0.2754,29858,2000
sasrec_gowalla,sasrec,ndcg@10,0.0865,0.08489,0.08814,29858,2000
sasrec_gowalla,sasrec,ndcg@20,0.09961,0.09798,0.10129,29858,2000
sasrec_gowalla,sasrec,ndcg@50,0.12664,0.12493,0.12832,29858,2000
sasrec_gowalla,sasrec,recall@10,0.08455,0.08283,0.08621,29858,2000
sasrec_gowalla,sasrec,recall@20,0.12577,0.12368,0.12784,29858,2000
sasrec_gowalla,sasrec,recall@50,0.21119,0.20863,0.21389,29858,2000
spatial_lightgcn_k10_lam0.3,spatial_lightgcn,ndcg@10,0.14117,0.13905,0.14328,29858,2000
spatial_lightgcn_k10_lam0.3,spatial_lightgcn,ndcg@20,0.15638,0.15427,0.15844,29858,2000
spatial_lightgcn_k10_lam0.3,spatial_lightgcn,ndcg@50,0.18647,0.18432,0.1886,29858,2000
spatial_lightgcn_k10_lam0.3,spatial_lightgcn,recall@10,0.129,0.12698,0.13109,29858,2000
spatial_lightgcn_k10_lam0.3,spatial_lightgcn,recall@20,0.18335,0.1809,0.18583,29858,2000
spatial_lightgcn_k10_lam0.3,spatial_lightgcn,recall@50,0.28015,0.27707,0.2831,29858,2000
